"","Ecosystem Services","Biological","Inorganic chemicals","Metals","Nutrients","Organic chemicals","Pesticides"
"Aquatic Wildlife","Aquatic Wildlife",0,0.06,0.15,0,0.46,0.3
"Drinking","Drinking",0.06,0.07,0.14,0,0.28,0.35
"Irrigation","Irrigation",0.06,0.03,0.41,0,0.06,0.44
"Livestock","Livestock",0,0.06,0.25,0,0.22,0.46
"Recreational","Recreational",0.6,0,0,0,0,0
"Trophic Status","Trophic Status",0.2,0,0,0.8,0,0
