Lvl1,Lvl2,Keywords
arsenic,arsenic,(?=.*(arsenic))(?!.*extract)(?!.*dissolved)|(?=.*AS-EXT)
lead,lead,(?=.*(lead))(?!.*extract)(?!.*dissolved)|(?=.*plomb)(?!.*extract)|(?=.*PB-EXT)
cadmium,cadmium,(?=.*(cadmium))(?!.*extract)(?!.*dissolved)|(?=.*CD-EXT)
atrazine,atrazine,atrazine
fc,fc,fecal
uranium,uranium,(?=.*(uranium))(?!.*extract)(?!.*dissolved)|(?=.*U-EXT)
tp,tp,(?=.*(phosphorus))(?=.*total)(?!.*dissolved)|(?=.*P-T-PER)
chl,chla,chlorophyll
tn,tn,(?=.*(nitrogen))(?=.*total)(?!.*dissolved)|(?=.*N-TOT)
chloride,chloride,(?=.*(chloride))(?!.*dissolved)
copper,copper,(?=.*(copper))(?=.*total)
molybdenum,molybdenum,(?=.*(molybdenum))(?=.*total)
nickel ,nickel,(?=.*(nickel))(?=.*total)
nitrate,nitrate,(?=.*(nitrate))(?=.*total)
zinc ,zinc,(?=.*(zinc))(?=.*total)
iron ,iron,(?=.*(iron))(?=.*total)
simazine,simazine,simazine
metribuzin,metribuzin,metribuzin
metolachlor,metolachlor,metolachlor
dicamba,dicamba,dicamba
bromoxynil,bromoxynil,bromoxynil
toluene,toluene,Toluene
ethylbenzene,ethylbenzene,Ethylbenzene
dichloromethane,dichloromethane,Dichloromethane
"1,2-dichloroethane","1,2-dichloroethane","1,2-dichloroethane"
nitrite,nitrite,nitrite
fluoride,fluoride,fluoride
diclofop-methyl,diclofop-methyl,diclofop-methyl
nitrate,nitrate,(?=.*(nitrate))(?=.*total)
cyanide,cyanide,cyanide
